Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
World,CAIT,Total including LUCF,All GHG,MtCO₂e,49947.42,49312.19,49828.88,49494.56,49037.46,48477.53,47915.71,46637.83,44907.04,44953.73,44590.03,43739.49,43360.31,42477.66,40703.74,39855.92,38396.69,37438.04,36817.13,36981.63,37338.36,36022.1,36004.23,35283.88,35080.3,34982.15,35125.92,34964.58
China,CAIT,Total including LUCF,All GHG,MtCO₂e,11780.99,11577.98,11578.25,11583.36,11568.63,11110.34,10784.95,9828.01,8992.51,8398.83,8104.47,7485.37,6857.63,6132.29,5385.86,4763.01,4452.24,4276.11,4079.23,4128.98,3989.5,3980.46,3946.17,3556.72,3405.76,3182.64,3051.31,2901.74
United States,CAIT,Total including LUCF,All GHG,MtCO₂e,5766.92,5833.01,5973.16,6097.71,6056.33,5936.1,6235.82,6111.83,5865.85,6267.37,6601.15,6388.91,6477.62,6500.25,6353.21,6321.63,6439.58,6495.09,6365.58,6345.71,6302.62,6069.33,5970.68,5906.34,5819.3,5709.22,5627.93,5669.57
India,CAIT,Total including LUCF,All GHG,MtCO₂e,3356.7,3230.06,3188.03,3175.79,3003.54,2947.94,2798.04,2449.3,2339.28,2185.08,2087.76,1941.43,1806.21,1735.12,1645.7,1596.86,1575.11,1669.14,1631.2,1553.2,1519.01,1460.58,1415.03,1349.41,1303.07,1271.34,1239.12,1184.08
European Union (27),CAIT,Total including LUCF,All GHG,MtCO₂e,3201.6,3187.72,3186.58,3130.79,3276.49,3356.37,3416.72,3610.79,3530.65,3805.39,3898.35,3933.59,3954.52,3985.09,3992.59,3902.28,3921.3,3907.36,3908.62,3983.02,4022.88,4100.84,3993.83,3943.47,3960.07,4033.19,4176.6,4253.66
Russia,CAIT,Total including LUCF,All GHG,MtCO₂e,2460.27,2434.46,2356.08,2479.35,2468.51,2598.33,2478.24,2401.69,2281.05,2616.58,2352.03,2379.41,2492.3,2443.69,2552.06,2381.2,2329.95,2418.98,2352.93,2370.68,2317.88,2508.31,2602.13,2682.65,2965.8,3223.12,3463.05,3559.43
Indonesia,CAIT,Total including LUCF,All GHG,MtCO₂e,2275.4,2228.89,2776.53,2729.18,2294.34,2357.19,2335.3,2079.39,2478.22,2043.38,2055.89,2680.4,1911.65,2205,1822.33,2198.69,1663.53,1406.12,1477.87,1594.09,2386.18,1399.99,1610.76,1579.97,1563.34,1547.09,1526.51,1509.17
Brazil,CAIT,Total including LUCF,All GHG,MtCO₂e,1392.8,1381.11,1411.95,1416,1372.14,1354.86,1308.92,1541.66,1434.3,1455.75,1467.19,1422,2016.51,2006.25,1959.63,1945.72,1900.3,1647.41,1650.9,1641.73,1606.8,1576.14,1580.16,1560.11,1543.78,1533.58,1523.64,1496.37
Japan,CAIT,Total including LUCF,All GHG,MtCO₂e,1239.78,1262.19,1269.61,1305.64,1343.27,1331.69,1289.53,1083.09,1026.58,1086.29,1153.2,1117.3,1242.64,1241.6,1249.79,1241.98,1210.3,1198.01,1181.75,1156.11,1203.24,1215.37,1201.26,1186.24,1129.03,1136.55,1123.25,1108.77
Iran,CAIT,Total including LUCF,All GHG,MtCO₂e,881.81,862.87,853.59,861.3,849.06,828.15,817.82,740.77,734.51,710.27,696.76,658.34,609.86,571.05,534.11,504.85,480.09,466.6,447.77,409.92,401.82,384.38,370.16,352.95,320.42,322.12,301.15,260.82
